field_key,stem_degree,stem_discriminant,closure_degree,closure_discriminant,ramification_support,galois_group,manifolds
x^6 - 3*x^5 + 3*x^4 - x^3 - x^2 + x + 1,6,-41791,48,1676942823880192385304947786177581515021724777615435464611218169539828810278721,"23,79",C2 x S4,"o10_146657,o10_146658"
x^4 - 2*x^3 - 2*x^2 + 3*x + 3,4,549,8,1121513121,"3,61",D4,o10_146953
x^4 - x^3 - 2*x - 1,4,-1107,24,516180284661002873353232537597841,"3,41",S4,"o10_146986,o10_146987,o10_146988,o10_146989,o10_146990,o10_146991"
x^2 - x + 4,2,-15,2,-15,"3,5",C2,"o10_148150,o10_148151,o10_148152,o10_148153,o10_148154,o10_148155"
x^6 - x^5 + x^4 - 6*x^3 + 2*x^2 - 4*x + 8,6,1468348,48,23326217907230585844111089765899130339325715624357766571020210328199281500195899479043342336,"2,7,229",C2 x S4,o10_148826
x^6 + 8*x^4 + 8*x^2 - 1,6,8508889,24,379522169067582504938019887545699724798161,2917,S4,o10_149137
x^6 + 4*x^4 - x^2 + 4,6,-743044,48,475219524832050078154930232794648023685455863005351743165221951520619915902976,"2,431",C2 x S4,o10_149200
x^8 - 3*x^7 + 6*x^6 - 9*x^5 + 9*x^4 - 7*x^3 + 4*x^2 - x + 1,8,1890625,16,52333711181640625,"5,11",(C4 x C2) : C2,"o10_150095,o10_150096,o10_150097"
x^4 + 1,4,256,4,256,2,C2 x C2,"o10_150141,o10_150142,o10_150143"
x^4 - x^3 - 2*x^2 - 3*x + 1,4,-1879,24,1936963162036740693550871209213439007841,1879,S4,o10_150386
