filling,word,length_letters,exp_a,exp_b,h_pmns_mod5,tr_re,tr_im,tr2_re,tr2_im,complex_length_re,twist_rad,twist_deg,abs_tr
m003(cusp),ABAbab,6,-1,1,,2.0000000000000000000000000000000000,3.3381835564024540561051249293906674e-89,4.0000000000000000000000000000000000,1.3352734225609816224420499717562670e-88,0.00000000000000000000000000000000000,0.00000000000000000000000000000000000,0.00000000000000000000000000000000000,2.0000000000000000000000000000000000
m003(cusp),ABAbbb,6,-2,2,,14.000000000000000000000000000000000,-3.1418198177905449939812940511912164e-89,196.00000000000000000000000000000000,-8.7970954898135259831476233433354060e-88,5.2678315876992668345001853892318738,-4.5348262938666803070755752916709125e-90,-(8.1626873289600245527360355250076426e-88)/pi,14.000000000000000000000000000000000
m003(cusp),ABBAbb,6,-2,0,,9.5000000000000000000000000000000000,0.86602540378443864676372317075293618,89.500000000000000000000000000000000,16.454482671904334288510740244305787,4.4888974152044088173100146266068127,0.18592624766566077541597341347628359,33.466724579818939574875214425731047/pi,9.5393920141694564915262158602322654
m003(cusp),ABBBAb,6,-2,-2,,9.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,89.500000000000000000000000000000000,-16.454482671904334288510740244305787,4.4888974152044088173100146266068127,-0.18592624766566077541597341347628359,-33.466724579818939574875214425731047/pi,9.5393920141694564915262158602322654
m003(cusp),ABBBBB,6,-1,-5,,-2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-0.49999999999999999999999999999999999,-12.990381056766579701455847561294043,2.5876638829861830965570783834250716,-1.7588342563677879134421231453484534,-316.59016614620182441958216616272161/pi,3.6055512754639892931192212674704959
m003(cusp),ABBBaB,6,0,-4,,1.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,1.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,1.0870701449957390997852728012384674,-1.7227684498700903249041423711299303,-310.09832097661625848274562680338746/pi,1.7320508075688772935274463415058724
m003(cusp),ABBBab,6,0,-2,,-10.500000000000000000000000000000000,0.86602540378443864676372317075293618,109.50000000000000000000000000000000,-18.186533479473211582038186585811660,4.6915208701587647881881848838267895,-0.16761789804773202878202903928220896,-30.171221648591765180765227070797613/pi,10.535653752852738848401404661899667
m003(cusp),ABBaBB,6,0,-4,,3.5000000000000000000000000000000000,2.5980762113533159402911695122588085,5.5000000000000000000000000000000000,18.186533479473211582038186585811660,2.9215632262264708803312801287094854,1.3817440905462070622809667664599579,248.71393629831727121057401796279242/pi,4.3588989435406735522369819838596157
m003(cusp),ABBabb,6,0,0,,-10.000000000000000000000000000000000,-2.9454560791786359318574631729917654e-90,100.00000000000000000000000000000000,5.8909121583572718637149263459835308e-89,4.5848633391223553756015746226960309,0.00000000000000000000000000000000000,0.00000000000000000000000000000000000,10.000000000000000000000000000000000
m003(cusp),ABaBAb,6,-1,-1,,-3.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-48.500000000000000000000000000000000,54.559600438419634746114559757434980,4.3087142361887911099354171945596206,2.3173923941053904377858710294502026,417.13063093897027880145678530103647/pi,8.5440037453175311678716483262397064
